id,app_id,ccu,collected_at
1,10,10454,2026-05-24 08:45:54.846092
2,20,42,2026-05-24 08:45:56.628497
3,30,114,2026-05-24 08:45:57.969226
4,40,3,2026-05-24 08:45:59.263547
5,50,78,2026-05-24 08:46:00.493137
6,60,2,2026-05-24 08:46:01.834567
7,70,734,2026-05-24 08:46:03.102515
8,80,426,2026-05-24 08:46:04.368444
9,130,45,2026-05-24 08:46:05.679588
10,220,1777,2026-05-24 08:46:06.944739
11,240,29608,2026-05-24 08:46:08.270347
12,280,20,2026-05-24 08:46:09.690537
13,300,239,2026-05-24 08:46:10.985687
14,320,113,2026-05-24 08:46:12.210152
15,360,23,2026-05-24 08:46:13.524384
16,400,556,2026-05-24 08:46:14.751601
17,440,52713,2026-05-24 08:46:16.011891
18,500,418,2026-05-24 08:46:17.339767
19,550,23961,2026-05-24 08:46:18.553578
20,620,1810,2026-05-24 08:46:19.938903
21,630,14,2026-05-24 08:46:21.237085
22,730,1316980,2026-05-24 08:46:22.481976
23,1250,285,2026-05-24 08:46:23.778975
24,1510,3,2026-05-24 08:46:25.074963
25,1520,5,2026-05-24 08:46:26.404853
26,1700,15,2026-05-24 08:46:27.788658
27,1840,1044,2026-05-24 08:46:29.025850
28,1900,32,2026-05-24 08:46:30.339296
29,1930,32,2026-05-24 08:46:31.582311
30,2100,51,2026-05-24 08:46:32.887003
31,2200,15,2026-05-24 08:46:34.336205
32,2210,21,2026-05-24 08:46:35.659559
33,2270,19,2026-05-24 08:46:36.969925
34,2280,215,2026-05-24 08:46:38.206211
35,2290,0,2026-05-24 08:46:39.529746
36,2300,11,2026-05-24 08:46:40.834877
37,2310,65,2026-05-24 08:46:42.145753
38,2320,69,2026-05-24 08:46:43.363555
39,2360,0,2026-05-24 08:46:44.684755
40,2400,3,2026-05-24 08:46:46.000226
41,2420,0,2026-05-24 08:46:47.314269
42,2500,0,2026-05-24 08:46:48.622580
43,2590,1,2026-05-24 08:46:49.933765
44,2600,64,2026-05-24 08:46:51.212225
45,2620,64,2026-05-24 08:46:52.531690
46,2630,214,2026-05-24 08:46:53.763353
