id,app_id,owners_min,owners_max,average_playtime,median_playtime,peak_ccu,collected_at
1,10,10000000,20000000,0,0,7323,2026-05-23 20:33:18.587964
2,20,1000000,2000000,0,0,66,2026-05-23 20:33:20.798321
3,30,5000000,10000000,0,0,87,2026-05-23 20:33:22.632383
4,40,5000000,10000000,0,0,7,2026-05-23 20:33:24.475540
5,50,2000000,5000000,0,0,74,2026-05-23 20:33:26.217793
6,70,10000000,20000000,0,0,634,2026-05-23 20:33:29.893132
7,80,5000000,10000000,0,0,276,2026-05-23 20:33:31.738078
8,130,1000000,2000000,0,0,35,2026-05-23 20:33:33.614965
9,220,10000000,20000000,0,0,1555,2026-05-23 20:33:35.471197
10,240,10000000,20000000,0,0,6187,2026-05-23 20:33:37.313178
11,280,2000000,5000000,0,0,27,2026-05-23 20:33:39.054600
12,300,2000000,5000000,0,0,238,2026-05-23 20:33:40.883690
13,320,10000000,20000000,0,0,159,2026-05-23 20:33:42.727768
14,360,5000000,10000000,0,0,43,2026-05-23 20:33:44.560998
15,400,10000000,20000000,0,0,638,2026-05-23 20:33:46.390706
16,440,50000000,100000000,0,0,43819,2026-05-23 20:33:48.239815
17,500,5000000,10000000,0,0,774,2026-05-23 20:33:49.972200
18,550,50000000,100000000,0,0,25122,2026-05-23 20:33:51.808791
19,620,5000000,10000000,0,0,1959,2026-05-23 20:33:53.648705
20,630,2000000,5000000,0,0,23,2026-05-23 20:33:55.491941
21,730,100000000,200000000,0,0,1013936,2026-05-23 20:33:57.341422
22,1250,2000000,5000000,0,0,224,2026-05-23 20:33:59.181178
23,1510,500000,1000000,0,0,2,2026-05-23 20:34:01.028174
24,1520,200000,500000,0,0,8,2026-05-23 20:34:02.871784
25,1700,200000,500000,0,0,6,2026-05-23 20:34:04.716478
26,1840,1000000,2000000,0,0,1047,2026-05-23 20:34:06.556235
27,1900,200000,500000,0,0,4,2026-05-23 20:34:08.414065
28,1930,1000000,2000000,0,0,17,2026-05-23 20:34:10.340737
29,2100,1000000,2000000,0,0,45,2026-05-23 20:34:12.336890
30,2200,500000,1000000,0,0,17,2026-05-23 20:34:14.178725
31,2210,200000,500000,0,0,18,2026-05-23 20:34:16.019382
32,2270,500000,1000000,0,0,10,2026-05-23 20:34:17.763105
33,2280,1000000,2000000,0,0,345,2026-05-23 20:34:19.605020
34,2290,200000,500000,0,0,1,2026-05-23 20:34:21.455735
35,2300,500000,1000000,0,0,16,2026-05-23 20:34:23.292436
36,2310,1000000,2000000,0,0,82,2026-05-23 20:34:25.142695
37,2320,1000000,2000000,0,0,80,2026-05-23 20:34:26.993278
38,2360,200000,500000,0,0,3,2026-05-23 20:34:28.878036
39,2400,1000000,2000000,0,0,3,2026-05-23 20:34:30.717803
40,2420,200000,500000,0,0,1,2026-05-23 20:34:32.569760
41,2500,200000,500000,0,0,1,2026-05-23 20:34:34.407104
42,2590,200000,500000,0,0,0,2026-05-23 20:34:36.250752
43,2600,500000,1000000,0,0,104,2026-05-23 20:34:37.986256
44,2620,500000,1000000,0,0,60,2026-05-23 20:34:39.722905
45,2630,5000000,10000000,0,0,162,2026-05-23 20:34:41.459922
46,2700,500000,1000000,0,0,32,2026-05-23 20:34:43.312364
47,2800,200000,500000,0,0,7,2026-05-23 20:34:45.167555
48,2810,500000,1000000,0,0,8,2026-05-23 20:34:47.196360
49,2820,500000,1000000,0,0,32,2026-05-23 20:34:49.036147
50,2840,200000,500000,0,0,5,2026-05-23 20:34:50.865270
51,2870,500000,1000000,0,0,7,2026-05-23 20:34:52.709960
52,3020,500000,1000000,0,0,14,2026-05-23 20:34:56.292888
53,3170,200000,500000,0,0,47,2026-05-23 20:34:58.130349
54,3320,500000,1000000,0,0,60,2026-05-23 20:34:59.967562
55,3330,500000,1000000,0,0,658,2026-05-23 20:35:01.825067
56,3480,500000,1000000,0,0,291,2026-05-23 20:35:03.681356
