id,app_id,developer,publisher,engine,genres,themes,game_modes,igdb_id,collected_at
1,10,Ritual Entertainment,Microsoft Game Studios,,['Shooter'],[],[],266357,2026-05-24 12:35:23.908262
2,20,Valve,Sierra Entertainment,GoldSrc,['Shooter'],"['Action', 'Comedy']","['Multiplayer', 'Co-operative']",6359,2026-05-24 12:35:25.386178
3,30,Valve,Valve,GoldSrc,['Shooter'],"['Action', 'Warfare']",['Multiplayer'],7551,2026-05-24 12:35:26.198360
4,40,Valve,Valve,GoldSrc,['Shooter'],"['Action', 'Science fiction']",['Multiplayer'],9073,2026-05-24 12:35:27.009667
5,50,Gearbox Software,Valve,GoldSrc,"['Shooter', 'Platform', 'Puzzle']","['Action', 'Science fiction', 'Thriller', 'Warfare']","['Single player', 'Multiplayer']",232,2026-05-24 12:35:27.943146
6,60,,,,['Indie'],['Action'],['Multiplayer'],368008,2026-05-24 12:35:28.850773
7,70,MMod Team,Gunship_Mark_II,Source,['Shooter'],[],['Single player'],267639,2026-05-24 12:35:29.802051
8,80,Valve,Valve,GoldSrc,['Shooter'],['Action'],"['Single player', 'Multiplayer']",297,2026-05-24 12:35:30.612282
9,130,supadupaplex,supadupaplex,,['Shooter'],"['Action', 'Science fiction']",['Single player'],285235,2026-05-24 12:35:31.503035
10,220,MMod Team,Gunship_Mark_II,Source,['Shooter'],[],['Single player'],267639,2026-05-24 12:35:32.306361
11,240,Turtle Rock Studios,Valve,Source,['Shooter'],['Action'],['Multiplayer'],307,2026-05-24 12:35:33.103595
12,280,Valve,Valve,Source,"['Shooter', 'Platform', 'Puzzle', 'Adventure']","['Action', 'Science fiction', 'Horror', 'Thriller', 'Warfare']",['Single player'],6744,2026-05-24 12:35:33.914750
13,300,Valve,Valve,Source,['Shooter'],"['Action', 'Warfare']",['Multiplayer'],3267,2026-05-24 12:35:34.705354
14,320,Valve,Valve,Source,['Shooter'],"['Action', 'Science fiction']",['Multiplayer'],9471,2026-05-24 12:35:35.683262
15,360,Valve,Valve,Source,['Shooter'],"['Action', 'Science fiction']",['Multiplayer'],19348,2026-05-24 12:35:36.576982
16,400,PlayStal Games,PlayStal Games,,"['Shooter', 'Platform', 'Puzzle']",['Action'],['Single player'],193776,2026-05-24 12:35:37.376511
17,440,Valve,Valve,Source,['Shooter'],['Action'],['Multiplayer'],256431,2026-05-24 12:35:38.171874
18,500,,,,[],[],[],199894,2026-05-24 12:35:39.079396
